route,latitude,longitude,speed,event_type,severity,confidence,pawar_prob,gyro_peak,dip_magnitude,bump_magnitude,accel_x_peak,total_z_dev,cluster
C,30.66360985780956,76.73370123581732,10.574727492413048,Speed Bump,10.0,0.65,0.999946117401123,0.6658889723014535,6.90272050857544,7.71981948852539,2.341320037841797,7.71981948852539,26
C,30.663781333207574,76.73356820867645,11.73326583967033,Speed Bump,4.936872,0.65,0.9996143579483032,0.4970370327612311,3.181881484985352,2.9892086410522456,1.403709053993225,3.181881484985352,27
C,30.663964947405553,76.73342673410949,12.88051277835902,Speed Bump,6.2998233,0.65,0.9999339580535889,0.21930217638037844,3.222559032440185,4.652220191955566,1.802504539489746,4.652220191955566,28
C,30.664357194440615,76.73310906823653,13.498968018436187,Speed Bump,5.800202,0.65,0.800300121307373,0.17423065048145958,4.064832744598389,3.1854195022583003,1.3682169914245603,4.064832744598389,29
C,30.66455951296917,76.73293936197743,14.31625646898267,Speed Bump,4.420022,0.65,0.5367263555526733,0.10330576274287492,2.648281631469727,2.876745643615724,1.5758320093154907,2.876745643615724,30
C,30.66529525304549,76.73233712069322,9.423927654702416,Speed Bump,4.714818,0.65,0.7056928277015686,0.05884673201298013,2.7152810668945317,3.178241195678712,2.555046558380127,3.178241195678712,31
C,30.665618144099433,76.73203294652603,6.95137734940156,Speed Bump,4.0237703,0.65,0.9045403599739075,0.4742095643368847,1.9328280067443853,3.096885147094728,1.435692310333252,3.096885147094728,32
C,30.665856705545288,76.73185197991496,8.451020098267616,Speed Bump,5.513064,0.65,0.9779502749443054,0.3107750605164181,3.693945465087891,3.197384300231933,1.735310196876526,3.693945465087891,33
C,30.666437432997046,76.73140734800033,7.452120215535406,Speed Bump,5.2890954,0.65,0.999744713306427,0.22744970537515402,3.4068065261840825,3.204562606811523,1.1807973384857178,3.4068065261840825,34
C,30.66656469182387,76.73131041488018,9.09933603303659,Pothole,10.0,1.0,1.0,1.059872883286891,10.164137748479844,9.480935516357425,4.599291801452637,10.164137748479844,134
C,30.666717275195584,76.73119292145769,10.71994171120287,Pothole,10.0,0.95,1.0,2.4108371110239073,10.90591281414032,38.316842498779295,4.396569728851318,38.316842498779295,135
C,30.667049288860138,76.73093561509322,11.361195294536765,Pothole,10.0,1.0,1.0,2.0642399093602064,9.022761342525483,14.048835220336917,6.986394882202148,14.048835220336917,136
C,30.6672265168667,76.7308021509372,12.02898685622761,Speed Bump,5.1914682,0.65,0.9992733597755432,0.22008006069125335,2.8564572906494146,3.632877769470216,1.5122027397155762,3.632877769470216,35
C,30.667417269632956,76.73066302580095,12.774824095077106,Speed Bump,6.5448484,0.65,0.9999862909317017,0.21792091113935924,3.8446932411193853,4.3363670730590815,1.863260269165039,4.3363670730590815,36
C,30.667619041673582,76.73052457191929,13.569559204909293,Speed Bump,6.9602423,0.65,0.999843955039978,0.18622693354283595,3.6436958885192876,5.056606712341308,1.6731853485107422,5.056606712341308,37
C,30.66783878273573,76.73037115388703,14.363354225555696,Speed Bump,8.652447,0.65,1.0,0.42915634891045573,5.220566329956055,5.59499210357666,1.738218903541565,5.59499210357666,38
C,30.66806852237533,76.73020385859375,14.994775747503727,Speed Bump,5.269953,0.65,0.9938363432884216,0.2005904914460498,3.6365175819396978,2.950923385620115,2.196117639541626,3.6365175819396978,39
C,30.668293612778825,76.73003646110942,14.990828450587513,Speed Bump,10.0,0.65,0.9999998807907104,0.7565718662020038,7.541604099273682,7.401572647094726,1.932021141052246,7.541604099273682,40
