t_start,t_end,t_mid,duration,event_type,severity,confidence,dip_magnitude,bump_magnitude,gyro_peak,accel_x_peak,total_z_dev
918.1370000000024,918.1739999999991,918.1555000000008,0.036999999996623956,Rough Patch,0.9561928,0.3,1.195241000000001,0.943344999999999,0.0248820418374377,0.751346,1.195241000000001
925.7829999999958,925.8510000000097,925.8170000000027,0.06800000001385342,Rough Patch,0.865744,0.3,1.082180000000001,0.927192999999999,0.023621156576255957,0.348754,1.082180000000001
1035.7339999999967,1035.7639999999956,1035.7489999999962,0.029999999998835847,Rough Patch,0.6499112,0.3,0.8123890000000014,0.0,0.03360336164731142,0.248255,0.8123890000000014
1077.517000000007,1077.5559999999969,1077.536500000002,0.03899999998975545,Rough Patch,0.8332016,0.3,1.0415020000000013,0.7573030000000003,0.015727136929524075,0.49352,1.0415020000000013
1078.1440000000002,1078.2060000000056,1078.175000000003,0.062000000005355105,Speed Bump,1.6213768,0.65,0.9876630000000013,1.039057999999999,0.03449714222946591,0.503091,1.039057999999999
1084.070000000007,1084.1129999999976,1084.0915000000023,0.04299999999057036,Road Bump,2.6308694,0.5,0.0,1.753912999999999,0.1384917482776501,0.2668,1.753912999999999
1262.2660000000033,1262.3220000000001,1262.2940000000017,0.055999999996856786,Speed Bump,4.103691,0.65,1.7234560000000005,3.4061579999999996,0.12236456262333471,0.91346,3.4061579999999996
1273.8380000000034,1273.896000000008,1273.8670000000056,0.0580000000045402,Rough Patch,0.684368,0.3,0.8554600000000008,0.5790379999999988,0.018774997017310016,0.547956,0.8554600000000008
1273.9959999999992,1274.047000000006,1274.0215000000026,0.05100000000675209,Rough Patch,0.8939784,0.3,1.1174730000000004,0.7596949999999989,0.023539996792693068,0.998405,1.1174730000000004
1287.843000000008,1287.87000000001,1287.856500000009,0.027000000001862645,Speed Bump,2.8292727,0.65,1.8622390000000006,1.674351999999999,0.03261037430021311,0.820738,1.8622390000000006
1287.9089999999997,1288.0080000000016,1287.9585000000006,0.09900000000197906,Speed Bump,2.625883,0.65,1.2891580000000005,1.9931959999999993,0.11779578245845647,0.588036,1.9931959999999993
1288.267000000007,1288.3470000000088,1288.307000000008,0.08000000000174623,Speed Bump,2.8015168,0.65,1.900525000000001,1.6013710000000003,0.07250449782599697,0.763909,1.900525000000001
1288.4330000000045,1288.4609999999957,1288.4470000000001,0.027999999991152436,Speed Bump,2.283232,0.65,1.6444930000000006,1.2095469999999988,0.09191943044318758,1.021735,1.6444930000000006
1288.6290000000008,1288.6840000000084,1288.6565000000046,0.055000000007566996,Speed Bump,2.2688744,0.65,1.5900560000000006,1.2460369999999994,0.06167391407232072,0.170489,1.5900560000000006
1299.5610000000015,1299.6300000000047,1299.595500000003,0.06900000000314321,Rough Patch,0.6460824,0.3,0.8076030000000003,0.5963849999999997,0.08497990206513538,0.40678,0.8076030000000003
1308.6370000000024,1308.7149999999965,1308.6759999999995,0.07799999999406282,Rough Patch,1.1969104,0.3,1.4961380000000002,0.675946999999999,0.022384903595950554,0.452243,1.4961380000000002
