X_min,X_max,X_mean,X_std,Y_min,Y_max,Y_mean,Y_std,Z_min,Z_max,Z_mean,Z_std,mag_min,mag_max,mag_mean,mag_std,is_pothole,n_samples,trip,window_start
-159.0,57.0,-41.583333333333336,70.32716205153044,3.0,350.0,152.0,92.31467922275417,-458.0,-44.0,-261.3333333333333,109.3330792679975,75.45197147855052,588.1776942387394,315.7346874704125,137.3372629501099,0,12,4,32.0
-208.0,122.0,6.933333333333334,79.27375914442868,-153.0,280.0,124.6,102.41210865908387,-512.0,23.0,-207.6,150.24593172528833,50.17967716117751,590.8375411227693,277.74605828567525,144.4801962442268,1,15,4,34.0
-193.0,164.0,-26.933333333333334,93.75604276821605,-57.0,463.0,96.2,128.38494200385546,-439.0,-9.0,-213.33333333333334,116.38766639506477,54.872579673275794,666.2987318012845,264.89647896994563,155.3698450879659,0,15,4,36.0
-128.0,134.0,-12.142857142857142,82.1513039135343,-44.0,490.0,133.57142857142858,161.2600890689653,-512.0,-2.0,-209.5,162.01003055366664,66.67083320313314,720.1583159278243,279.0356130798769,207.41035462234234,0,14,4,38.0
-251.0,185.0,-12.071428571428571,114.86853621529656,-100.0,470.0,147.64285714285714,146.02133266011765,-512.0,34.0,-243.14285714285714,122.04381949755187,108.57716150277645,695.330856499264,335.86495435581213,132.92485903642697,0,14,4,40.0
-133.0,59.0,-41.57142857142857,59.334059462039995,27.0,191.0,107.0,40.604362890141324,-330.0,-56.0,-216.85714285714286,74.94269919922357,85.70880934886448,399.4270897172599,253.68967711133382,81.43343827939685,0,14,4,42.0
-78.0,60.0,-11.538461538461538,43.547702199586894,-76.0,511.0,156.46153846153845,127.41248301639193,-512.0,-176.0,-286.0,102.25608877865264,186.284728305892,723.9122875045015,342.36032267224584,133.36194907002417,0,13,4,44.0
-89.0,7.0,-35.75,25.40054133281415,63.0,203.0,135.41666666666666,41.66224976589185,-266.0,-195.0,-226.66666666666666,20.23747898221405,217.02304025149036,315.1793140420227,270.0499441548244,29.275034790350283,0,12,4,46.0
-37.0,121.0,40.294117647058826,35.39319427082051,14.0,347.0,132.64705882352942,83.52698836583976,-397.0,-63.0,-207.61764705882354,71.59075470456747,74.95331880577403,527.4343561050987,258.6056230171825,93.81763901822369,0,34,5,0.0
-512.0,286.0,-40.43333333333333,133.97056476040632,-43.0,511.0,143.16666666666666,151.46948720965406,-512.0,75.0,-269.3333333333333,166.02416156156977,35.62302626111375,777.8566706019818,347.9882569643661,205.01538076016558,1,30,5,2.0
-232.0,140.0,-4.6923076923076925,80.65919244229877,-29.0,511.0,134.10256410256412,125.61312092003578,-512.0,13.0,-221.30769230769232,126.68720896439142,99.20685460188726,741.2563659085836,288.2836525930635,149.02803816873666,0,39,5,4.0
-214.0,322.0,3.2222222222222223,144.20492962584552,-111.0,511.0,135.66666666666666,164.29715626131681,-461.0,-32.0,-214.88888888888889,131.97848683650804,60.73713855624086,660.6943317450211,306.3610788363145,189.58610016098098,1,9,5,6.0
-448.0,127.0,-51.95238095238095,124.79868596319669,-11.0,492.0,137.76190476190476,125.00434459569976,-512.0,-28.0,-258.2857142857143,140.3346825601273,89.52094726934027,710.876923243398,331.406780047108,171.61896733266877,1,21,5,8.0
-93.0,194.0,11.391304347826088,57.81209376294201,-26.0,454.0,140.56521739130434,121.15811662844855,-512.0,-4.0,-213.6086956521739,132.09934967763922,26.60826939130014,684.313524636186,279.6282199493121,150.9862285662993,0,23,5,10.0
-220.0,84.0,-26.391304347826086,66.74529075095195,-16.0,511.0,174.43478260869566,157.0103364326434,-512.0,15.0,-225.69565217391303,137.43280881077177,31.464265445104548,674.3893534153694,306.6726206963395,189.76138167738088,1,23,5,12.0
-154.0,101.0,-21.526315789473685,61.36634464303414,-18.0,511.0,169.21052631578948,132.54456209829303,-512.0,-61.0,-227.52631578947367,128.5638765754627,99.22701245124736,723.4148187589193,305.4498850561071,159.4576311760073,0,19,5,14.0
-333.0,86.0,-58.81818181818182,119.59311182795693,45.0,281.0,132.0909090909091,79.57781160080712,-437.0,-158.0,-265.27272727272725,83.62914988653061,184.76200908195386,536.4876513024321,324.3959763322207,116.93345268847209,1,11,5,16.0
