latitude,longitude,event_type,severity,avg_severity,confidence,n_detections,total_duration,max_gyro_peak,max_accel_z,max_accel_x,max_dip,max_bump,is_dip,accel_z_std,avg_speed,est_size_m,route
30.678164175,76.72208632499999,Minor Anomaly,1.8181245,1.3622952,0.2,4,0.0621490478515625,0.260946661233902,1.6746702194213867,0.7546855807304382,1.6746702194213867,1.4797191619873047,True,1.0625175759196281,2.288223683834076,0.049015151020284975,D
30.67851056470588,76.7218039764706,Minor Anomaly,6.9675293,2.674821,0.7,17,0.31060791015625,0.3973141014575958,3.5296006202697754,2.4383232593536377,3.5296006202697754,3.378329277038574,True,1.674880862236023,2.9275823621188892,0.18937394389649853,D
30.690488344000002,76.71174855,Pothole,10.0,3.7299128,0.95,50,1.9369544982910156,2.461787462234497,12.44764518737793,11.126455307006836,9.747234344482422,12.44764518737793,True,1.4032930472493172,2.954025459289551,1.0213972376659513,E
30.6915075,76.7124305,Road Bump,2.8568416,2.8568416,0.5,1,0.01038360595703125,0.24079735577106476,1.9045610427856445,0.22585146129131317,0.0,1.9045610427856445,False,1.214746356010437,3.462249755859375,0.0359506371896714,E
30.6916897125,76.71272708750001,Minor Anomaly,7.143016,2.3961105,0.6,8,0.11395263671875,0.2942672073841095,3.62192440032959,1.4981720447540283,3.62192440032959,2.477330207824707,True,1.4946541843819432,2.9305687844753265,0.16161200462374836,E
30.692827656410266,76.71351152051281,Minor Anomaly,10.0,3.3000934,0.95,39,7.2402496337890625,0.7567713856697083,7.680943489074707,7.54912805557251,7.218305587768555,7.680943489074707,True,1.3531195269345353,4.220412761737139,4.737585840302927,E
30.693517955555553,76.71307272222222,Pothole,10.0,6.913453,0.95,9,0.2589569091796875,0.8640961647033691,41.952491760253906,2.7422842979431152,25.047889709472656,41.952491760253906,True,8.261764228343964,7.650528377956814,0.5691739583853632,E
30.69382535,76.712810575,Pothole,10.0,7.5710635,0.7,4,0.10357666015625,0.3522498309612274,7.81846809387207,1.0759538412094116,7.81846809387207,4.580461502075195,True,4.267441987991333,6.55811607837677,0.4141802826707135,E
30.6942884,76.7124394,Pothole,7.52764,4.567383,0.7,2,0.155364990234375,0.34057703614234924,3.781294822692871,1.6208970546722412,3.781294822692871,1.9048986434936523,True,1.2913877367973328,5.961498260498047,0.8615965072531253,E
30.69642207692307,76.71066795384617,Pothole,10.0,8.986023,0.95,13,0.6215057373046875,1.57064950466156,38.35028076171875,5.242832660675049,14.513688087463379,38.35028076171875,True,7.7740668923808975,9.3453735938439,1.151243164378684,E
30.69750804285714,76.70973748571429,Minor Anomaly,6.483316,3.00574,0.6,7,0.072540283203125,0.29918918013572693,3.7979297637939453,1.4830859899520874,3.5304059982299805,3.7979297637939453,True,1.6028262632233756,10.078114645821708,0.11235985023085959,E
30.69917321551724,76.70878642758619,Pothole,10.0,4.554299,0.95,58,6.50482177734375,7.273996353149414,28.94207191467285,24.32741928100586,28.94207191467285,25.873958587646484,True,3.4149245746305277,5.822513888622153,5.258676878584083,E
30.700447024137933,76.70789727931033,Pothole,10.0,7.713217,0.95,29,1.12896728515625,6.182036876678467,39.325050354003906,8.489361763000488,22.086816787719727,39.325050354003906,True,8.628335739646491,9.383000209413726,4.145762208558153,E
30.70138266,76.70710942,Minor Anomaly,10.0,5.3307405,0.7,5,0.07244873046875,0.32132840156555176,13.26375961303711,2.0761919021606445,13.26375961303711,7.66158390045166,True,3.714101183414459,6.719325828552246,0.1951780842791777,E
30.702170926315787,76.70645532105264,Pothole,10.0,4.9146028,0.85,19,0.880401611328125,0.8265710473060608,7.2989349365234375,5.754611968994141,4.668314456939697,7.2989349365234375,True,1.8649241861544157,6.675629540493614,1.2383069464412984,E
30.702898899999994,76.7058359,Pothole,10.0,6.6603575,0.95,15,0.890777587890625,1.9397262334823608,31.85576629638672,4.560934066772461,12.519173622131348,31.85576629638672,True,3.9332201878229776,9.379742622375488,3.751976409344934,E
30.703381478571433,76.70541422142857,Pothole,10.0,6.4627504,0.95,28,1.294830322265625,4.24898624420166,43.97072982788086,19.77985954284668,17.392568588256836,43.97072982788086,True,3.248305848866169,7.327214053698948,3.4046683853375725,E
30.704078400000004,76.7048316857143,Pothole,10.0,4.8508787,0.85,7,0.145050048828125,0.5125688314437866,25.261764526367188,1.6778125762939453,11.40746021270752,25.261764526367188,True,4.276577898434231,7.176057066236224,0.3713946117059095,E
