route,latitude,longitude,speed,event_type,severity,confidence,gyro_peak,z_kurtosis,dip_magnitude,bump_magnitude,accel_x_peak,total_z_dev,cluster
Route_2,30.647699421073984,76.73735108690944,4.8874737868502915,Pothole,4.0856724,0.7743777,0.5916029544813193,-0.3591865339900657,2.9743037796020513,2.111042442321775,2.9987313747406006,2.9743037796020513,81
Route_2,30.647749156886537,76.73743913729739,5.173431955003434,Speed Bump,4.5756154,0.65,0.21859402038753878,0.5845109807173032,3.4726091003417974,3.063984336853027,2.6384050846099854,3.4726091003417974,8
Route_2,30.647799027372038,76.7375248432593,5.08032281991895,Speed Bump,4.05404,0.55,0.20688282044811493,2.065887795205831,3.73103385925293,3.025699081420898,2.7388916015625,3.73103385925293,8
Route_2,30.647853216963014,76.737615456338,5.4204476038539395,Speed Bump,5.292505,0.65,0.2906623450582744,1.100565667522237,4.018172798156739,3.5425485992431636,3.077915668487549,4.018172798156739,8
Route_2,30.648092056673654,76.73801916605139,4.1498954963161605,Road Bump,2.3990438,0.45,0.4163815543564706,1.2754158731248824,1.5571542358398442,2.441252174377439,2.683655977249145,2.441252174377439,135
Route_2,30.64811477063018,76.7380937955013,3.6973261002595548,Road Bump,1.6894524,0.45,0.31632240071498285,-0.23625166433888722,1.341800270080567,1.4739536666870112,3.266669750213623,1.4739536666870112,135
Route_2,30.64812566978364,76.7381687539506,3.8685639068427315,Road Bump,1.7554939,0.45,0.35896265825014634,-0.3931255506151068,1.5906539535522466,1.3351692581176753,3.153480768203736,1.5906539535522466,135
Route_2,30.648107800064828,76.73826289011471,4.91041942119119,Speed Bump,3.2952757,0.55,0.4101680225346776,0.24574149265021017,3.0317316627502446,2.460394325256347,2.142017602920532,3.0317316627502446,9
Route_2,30.648038591130174,76.73836606988152,6.087482466433965,Pothole,8.677556,0.9643683,1.098116335215443,1.3027873297478756,6.220766124725342,6.7985815429687495,3.8480801582336426,6.7985815429687495,82
Route_2,30.647940149479112,76.73845995957122,7.68293164490188,Speed Bump,4.2804008,0.65,0.08870228987918193,0.6005411110188144,2.5196676826477056,3.595190467834472,2.5366501808166504,3.595190467834472,10
Route_2,30.647803576194057,76.73858587113087,10.319308576615159,Speed Bump,5.031209,0.65,0.2161437514540491,1.9802062172832091,4.449479160308838,2.7379621887207026,3.344160556793213,4.449479160308838,10
Route_2,30.64764204426997,76.73873019791938,11.558451334775777,Speed Bump,8.828797,0.55,0.29760835421124304,2.1741578419441163,6.690357503890992,8.024304809570312,3.34816575050354,8.024304809570312,11
Route_2,30.647466328072987,76.73887991997893,12.595949112103437,Speed Bump,8.489974,0.55,0.35221069150069434,1.1138550378138028,6.599430141448975,7.550527038574218,4.30579137802124,7.550527038574218,12
Route_2,30.64726833267971,76.7390448563155,13.843388165266447,Speed Bump,6.626623,0.65,0.17622161586085996,-1.0702142114716302,5.363537368774415,4.103066864013671,3.134523630142212,5.363537368774415,13
Route_2,30.64705398498129,76.73922371357664,14.942008455729558,Speed Bump,5.6241503,0.65,0.18118032162442857,-1.1058442305157954,4.286169109344483,3.748331489562988,2.9806315898895264,4.286169109344483,14
Route_2,30.646824749350582,76.73942116698082,16.047013112744278,Speed Bump,5.208756,0.65,0.12264209067323545,-0.5055635611243616,3.8411040878295903,3.5999760055541987,2.2351808547973637,3.8411040878295903,15
Route_2,30.64657834173136,76.73963300340694,17.17315116970485,Speed Bump,5.4369717,0.65,0.23345278346058418,-0.3423443486528903,3.5539651489257817,4.2131370925903315,3.595215320587158,4.2131370925903315,16
Route_2,30.646318236032975,76.73986047451683,18.352912646597204,Pothole,6.4160624,0.84801835,0.5652926182514685,1.165035246479695,5.052470264434815,5.807355346679687,3.688354015350342,5.807355346679687,83
Route_2,30.646041601528328,76.74010536654228,19.522893987361574,Speed Bump,4.307201,0.65,0.12715001782607316,-0.2057369215992928,3.635321197509766,2.5178226852416987,2.7068018913269043,3.635321197509766,17
Route_2,30.64575170040602,76.74036837750353,20.64015700650978,Speed Bump,4.4478984,0.65,0.19539558937963608,0.38901134972194606,3.745390949249268,2.608749809265136,3.605832815170288,3.745390949249268,18
Route_2,30.645450900850886,76.74062953703307,20.748584436946565,Speed Bump,5.1082573,0.65,0.1790806614393433,1.0423505066319905,4.837116298675538,2.460394325256347,2.994182109832764,4.837116298675538,19
Route_2,30.645162118739293,76.7408800582385,19.867221728437674,Speed Bump,5.0191846,0.55,0.3978836503068896,1.1003494612126756,4.152170715332032,4.2131370925903315,2.672062873840332,4.2131370925903315,20
Route_2,30.64488649557151,76.74112373779141,18.978966635280926,Speed Bump,4.823512,0.65,0.12379293106350488,-0.1226775735056842,3.783676204681396,3.107055130004884,2.240556240081787,3.783676204681396,21
Route_2,30.64462484268573,76.74135092727907,17.995248826551446,Speed Bump,4.256951,0.65,0.06902027733972449,0.35291178528920275,3.0843735313415532,2.996984901428224,2.1707422733306885,3.0843735313415532,22
Route_2,30.644380979828878,76.74156157807836,16.530473247451653,Speed Bump,5.4302716,0.65,0.1746933876843659,0.7397787230458706,3.3768964385986333,4.380634727478027,2.4838316440582275,4.380634727478027,23
Route_2,30.644157578761067,76.74175145749284,15.101006532915594,Speed Bump,4.719244,0.65,0.15772187364012333,1.0615149273105153,4.022958335876465,2.71881908416748,2.164993524551392,4.022958335876465,24
Route_2,30.643950877161153,76.74192961543153,13.914963649892947,Speed Bump,3.2148771,0.55,0.3964242959735045,0.5031072759530772,2.878591117858887,2.47953742980957,2.62593150138855,2.878591117858887,25
Route_2,30.643769538146213,76.74208037120682,11.553312790165242,Pothole,10.0,1.0,2.955075511857246,5.885338161689123,13.801228103637696,23.289914550781248,13.597725868225098,23.289914550781248,84
Route_2,30.643646457251812,76.7421911163922,8.065328311011925,Pothole,5.105657,0.80670387,0.547632866498173,1.061791467224829,3.798033294677735,4.461990776062011,3.055240631103516,4.461990776062011,84
Route_2,30.643561760737725,76.74229389741306,6.724583118699258,Pothole,10.0,1.0,1.8030204392402938,7.550157352392581,6.575501976013184,6.712439956665039,7.785893440246582,6.712439956665039,84
Route_2,30.64350518326531,76.7424142972921,6.246982929704209,Pothole,10.0,1.0,2.203640025333552,5.370139270631366,4.889758644104004,4.533775749206544,4.311015605926514,4.889758644104004,84
Route_2,30.64342256118203,76.74250088229932,6.135278779636513,Pothole,2.6186635,0.68213886,0.5244627047214029,1.5943247198169557,1.2508731460571294,2.1014713668823237,1.8489108085632324,2.1014713668823237,84
