Time,SensorType,Value1,Value2,Value3,Latitude,Longitude,Speed,Pothole
19:05:17.491,Accelerometer,0.466002,1.965704,9.373284,,,0.00,0
19:05:17.493,Gyroscope,-0.010786,0.014248,-0.001997,,,0.00,0
19:05:17.524,Accelerometer,0.285344,2.297110,10.229915,,,0.00,0
19:05:17.525,Gyroscope,0.000533,0.009454,-0.002131,,,0.00,0
19:05:17.525,Accelerometer,0.285344,2.297110,10.229915,,,0.00,0
19:05:17.539,Gyroscope,0.000533,0.009454,-0.002131,,,0.00,0
19:05:17.554,Accelerometer,0.120239,1.887339,9.486345,,,0.00,0
19:05:17.556,Gyroscope,0.002397,-0.000932,-0.002397,,,0.00,0
19:05:17.571,Accelerometer,0.386441,1.887339,9.486345,,,0.00,0
19:05:17.574,Gyroscope,-0.001598,-0.003595,-0.003728,,,0.00,0
19:05:17.601,Accelerometer,0.466002,2.307878,9.870992,,,0.00,0
19:05:17.602,Gyroscope,0.000799,-0.002530,-0.009587,,,0.00,0
19:05:17.613,Accelerometer,0.466002,2.041078,9.660423,,,0.00,0
19:05:17.616,Gyroscope,0.000799,-0.002530,-0.009587,,,0.00,0
19:05:17.629,Accelerometer,0.198006,2.041078,9.660423,,,0.00,0
19:05:17.631,Gyroscope,0.001598,0.006525,-0.011052,,,0.00,0
19:05:17.657,Accelerometer,-0.021535,2.169692,9.157930,,,0.00,0
19:05:17.658,Gyroscope,0.001997,0.007590,-0.010653,,,0.00,0
19:05:17.670,Accelerometer,-0.021535,2.169692,9.157930,,,0.00,0
19:05:17.673,Gyroscope,-0.000932,0.002796,-0.007191,,,0.00,0
19:05:17.699,Accelerometer,-0.001795,2.318645,10.004392,,,0.00,0
19:05:17.701,Gyroscope,0.002929,0.009321,-0.009055,,,0.00,0
19:05:17.713,Accelerometer,-0.001795,2.318645,10.004392,,,0.00,0
19:05:17.714,Gyroscope,0.006525,0.005726,-0.006525,,,0.00,0
19:05:17.743,Accelerometer,0.022732,1.927419,9.264411,,,0.00,0
19:05:17.744,Gyroscope,-0.001465,-0.001465,-0.001465,,,0.00,0
19:05:17.744,Accelerometer,0.022732,1.927419,9.264411,,,0.00,0
19:05:17.745,Gyroscope,-0.001465,-0.001465,-0.001465,,,0.00,0
19:05:17.775,Accelerometer,0.179462,2.161317,9.540184,,,0.00,0
19:05:17.789,Gyroscope,0.000133,0.000666,-0.003462,,,0.00,0
19:05:17.791,Accelerometer,0.179462,2.161317,9.540184,,,0.00,0
19:05:17.793,Gyroscope,0.000133,0.000666,-0.003462,,,0.00,0
19:05:17.816,Gyroscope,-0.002131,-0.007324,-0.001997,,,0.00,0
19:05:17.817,Accelerometer,0.092124,2.020140,9.811171,,,0.00,0
19:05:17.817,Accelerometer,0.092124,2.020140,9.811171,,,0.00,0
19:05:17.845,Gyroscope,0.001465,0.000533,-0.001864,,,0.00,0
19:05:17.846,Accelerometer,0.379861,2.016551,9.647861,,,0.00,0
19:05:17.862,Gyroscope,0.003329,0.010120,-0.003862,,,0.00,0
19:05:17.877,Accelerometer,0.340977,2.209173,9.837492,,,0.00,0
19:05:17.878,Gyroscope,0.003329,0.010120,-0.003862,,,0.00,0
19:05:17.895,Accelerometer,0.340977,2.209173,9.837492,,,0.00,0
19:05:17.922,Gyroscope,0.009854,0.005459,-0.007457,,,0.00,0
19:05:17.923,Accelerometer,0.142373,2.207379,9.811171,,,0.00,0
19:05:17.924,Gyroscope,0.009854,0.005459,-0.007457,,,0.00,0
19:05:17.940,Accelerometer,0.266800,2.014757,9.351151,,,0.00,0
19:05:17.948,Gyroscope,0.009854,0.005459,-0.007457,,,0.00,0
19:05:17.958,Accelerometer,0.056830,2.129014,9.139386,,,0.00,0
19:05:17.982,Gyroscope,-0.003728,-0.003728,-0.001065,,,0.00,0
19:05:17.985,Gyroscope,-0.003728,-0.003728,-0.001065,,,0.00,0
19:05:17.993,Accelerometer,0.123230,2.226521,9.345767,,,0.00,0
19:05:17.999,Accelerometer,0.186042,2.105086,9.329616,,,0.00,0
19:05:18.002,Gyroscope,-0.003728,-0.003728,-0.001065,,,0.00,0
19:05:18.020,Accelerometer,0.162712,2.255235,9.868001,,,0.00,0
19:05:18.023,Gyroscope,-0.002929,0.000533,0.000799,,,0.00,0
19:05:18.039,Accelerometer,0.292523,2.073979,9.587442,,,0.00,0
19:05:18.072,Accelerometer,0.192622,1.923231,9.576077,,,0.00,0
19:05:18.074,Gyroscope,-0.003862,0.006924,-0.000133,,,0.00,0
19:05:18.074,Gyroscope,-0.003862,0.006924,-0.000133,,,0.00,0
19:05:18.093,Accelerometer,0.229113,2.154139,9.672387,,,0.00,0
19:05:18.095,Gyroscope,-0.007723,0.003063,-0.000799,,,0.00,0
19:05:18.097,Accelerometer,0.229113,2.154139,9.672387,,,0.00,0
19:05:18.127,Gyroscope,-0.005726,-0.012117,-0.000666,,,0.00,0
19:05:18.129,Gyroscope,-0.005726,-0.012117,-0.000666,,,0.00,0
19:05:18.131,Accelerometer,0.357727,2.066202,9.772287,,,0.00,0
19:05:18.140,Accelerometer,0.259621,1.986043,9.699904,,,0.00,0
19:05:18.145,Gyroscope,-0.002131,0.001332,-0.002929,,,0.00,0
19:05:18.147,Accelerometer,0.259621,1.986043,9.699904,,,0.00,0
19:05:18.158,Gyroscope,-0.002131,0.001332,-0.002929,,,0.00,0
19:05:18.179,Accelerometer,0.292523,1.826920,9.787841,,,0.00,0
19:05:18.210,Gyroscope,0.003728,-0.000799,-0.001731,,,0.00,0
19:05:18.216,Accelerometer,0.272184,1.833500,9.769297,,,0.00,0
19:05:18.217,Gyroscope,0.003728,-0.000799,-0.001731,,,0.00,0
19:05:18.233,Accelerometer,0.113659,2.104487,9.743574,,,0.00,0
19:05:18.243,Gyroscope,0.009188,0.004927,-0.001198,,,0.00,0
19:05:18.244,Accelerometer,0.113659,2.104487,9.743574,,,0.00,0
